"№
п/п";"Код
номенклатуры";Ноенклатура;"Кол-во
на складах";"Макс.
закупка";Опт Карта Рубин;Опт Карта Рубин +;Розничная цена;Оптовая цена;gold;platinum
1;00079718;"Ретро провод ""Эко"" 2х1,5 витой ГОСТ коричневый (50м) TDM (метр)";0; ;4 500,00;4 250,00;4 500,00;3 650,00;4 275,00;4 050,00
2;00079717;"Ретро провод ""Эко"" 2х1,5 витой ГОСТ коричневый (50м) TDM (бухта 50м)";2;2744,15;4 359,00;4 223,00;4 359,00;3 760,00;4 141,05;3 923,10
3;00079716;"Ретро провод ""Эко"" 2х1,5 витой ГОСТ коричневый (20м) TDM (метр)";0; ;1 860,00;1 760,00;1 860,00;1 520,00;1 767,00;1 674,00
4;00079715;"Ретро провод ""Эко"" 2х1,5 витой ГОСТ коричневый (20м) TDM (бухта 20м)";9;1251,78;1 860,00;1 760,00;1 860,00;1 520,00;1 767,00;1 674,00
5;00083284;"Ретро провод ""Эко"" 2х1,5 витой ГОСТ бежевый (50м) TDM (бухта 50м)";18;2744,15;4 359,00;4 223,00;4 359,00;3 760,00;4 141,05;3 923,10
6;00080138;Реле напряжения и тока с дисп. MRVA 63A EKF;16;2563,83;4 013,00;3 821,00;4 013,00;3 105,00;3 812,35;3 611,70
7;00079028;Расцепитель независимый РН-47 EKF PROxima;0; ; ; ; ;1 561,00; ; 
8;00080056;Рассеиватель d150мм (шар пластик) антивандальный Свет Витебск  (1/50);21;30,49;65;55;65;55;61,75;58,5
9;00085984;Распределительный блок на DIN-рейку РБД-80А IEK;0; ; ; ; ; ; ; 
10;00085983;Распределительный блок на DIN-рейку РБД-125А IEK;0; ; ; ; ; ; ; 
11;00080448;Рамка 5гн крем INSPIRIA Legrand (1/5);5;183,91;293;283;293;245;278,35;263,7
12;00080434;Рамка 5гн белый INSPIRIA Legrand (1/5);4;183,91;293;283;293;245;278,35;263,7
13;00080417;Рамка 5гн антрацит INSPIRIA Legrand (1/5);4;286;455;439;455;381;432,25;409,5
14;00080404;Рамка 5гн алюминий  INSPIRIA Legrand (1/5);5;286;455;439;455;381;432,25;409,5
15;00080649;Рамка 5-м Glossa горизонт. бел. SchE GSL000105 RS;37;180,71;375; ;375;338;356,25;337,5
16;00080627;Рамка 5-м Glossa горизонт. беж. SchE GSL000205 RS;94;180,71;375; ;375;338;356,25;337,5
17;00080565;Рамка 5-м BRITE РУ-5-БрЧ черн, ІЕК BR-M52-K02;3;261,74;442;407;442;351;419,9;397,8
18;00080351;Рамка 5-м BRITE РУ-5-БрКр беж. IEK BR-M52-K10;26;210,46;358;345;358;280;340,1;322,2
19;00080467;Рамка 5-м BRITE РУ-5-БрБ бел. ІЕК BR-M52-K01;7;198,79;337;311;337;268;320,15;303,3
20;00080298;Рамка 5-м AtlasDesign универс. карбон SE ATN001005;13;630,81;1 002,00;968;1 002,00;839;951,9;901,8
21;00080282;Рамка 5-м AtlasDesign универс. бел. SE ATN000105;15;208,32;332;320;332;277;315,4;298,8
22;00080269;Рамка 5-м AtlasDesign универс. беж. SE ATN000205;39;253,89;371;359;332;322;315,4;298,8
23;00080255;Рамка 5-м AtlasDesign универс. алюм. SE ATN000305;10;316,57;504;486;504;421;478,8;453,6
24;00081623;Рамка 4гн сталь AtlasDesign Systeme Electric (1/5);0; ;1 074,00;1 041,00;1 074,00;902;1 020,30;966,6
25;00080447;Рамка 4гн крем INSPIRIA Legrand (1/5);13;140,98;225;217;225;188;213,75;202,5
26;00080433;Рамка 4гн белый INSPIRIA Legrand (1/5);14;140,98;225;217;225;188;213,75;202,5
27;00080416;Рамка 4гн антрацит INSPIRIA Legrand (1/5);5;218,67;348;336;348;291;330,6;313,2
28;00080366;Розетка 1-м ОП TORS 16A IP55 TS220 с заземл. с крышкой бел. ІЕК TS-R16-16-55-K41;0; ;506;506;506;506;480,7;455,4
29;00080365;Розетка 1-м ОП TORS 16A IP55 TS120 с заземл. с крышкой графит IEK TS-R16-16-55-K53;0; ;506;506;506;506;480,7;455,4
30;00080550;Розетка 1-м ОП GLORY PCш20-3-ХД 16А с заземл. защ. шторки дуб ІЕК ERH14-K24-16;4;122,24;245;226;245;195;232,75;220,5
31;00080548;Розетка 1-м ОП GLORY PC20-3-ХБ 16A c заземл.бел. IEK ERH11-K01-16;71;76,85;130;120;130;103;123,5;117
32;00080959;Розетка 1-м без З/К с/у AtlasDesign 16А механизм беж. ATN000241;48;109,38;164;159;164;138;155,8;147,6
33;00080975;Розетка 1-м AtlasDesign без З/К с/у механизм песочный ATN001241;0; ; ; ; ; ; ; 
34;00080979;Розетка 1-м AtlasDesign 16А без З/К с/у механизм шампань ATN000541;0; ;253;246;253;213;240,35;227,7
35;00080973;Розетка 1-м AtlasDesign 16А без З/К с/у механизм мокко ATN000641;3;168,78;253;246;253;213;240,35;227,7
36;00080978;Розетка 1-м AtlasDesign 16А без З/К с/у механизм карбон ATN001041;186;250,17;364;352;364;305;345,8;327,6
37;00079516;Роз. стац. наруж. 125 3Р+РЕ+N 32А 380В IP44 EKF;14;389,08;597;569;597;456;567,15;537,3
38;00079515;Роз. стац. наруж. 124 3Р+РЕ 32А 380В IP44 EKF;21;365,34;560;534;560;428;532;504
39;00079514;Роз. стац. наруж. 123 2Р+РЕ 32А 220В IP44 EKF;17;336,76;516;492;516;394;490,2;464,4
40;00079513;Роз. стац. наруж. 115 3Р+РЕ+N 16А 380В IP44 EKF;20;355,57;546;520;546;416;518,7;491,4
41;00079512;Роз. стац. наруж. 114 3Р+РЕ 16А 380В IP44 EKF;24;309,67;475;453;475;363;451,25;427,5
42;00079511;Роз. стац. наруж. 113 2Р+РЕ 16А 220В IP44 EKF;20;274,13;421;401;421;321;399,95;378,9
43;00079449;Роз. перенос. с защитной крышкой каучуковая 230В 2P+PE 16A IP44 EKF Марс;16;115,29;208;199;208;160;197,6;187,2
44;00079510;Роз. перенос. 225 3Р+РЕ+N 32А 380В IP44 EKF;24;377,27;579;552;579;442;550,05;521,1
45;00079509;Роз. перенос. 224 3Р+РЕ 32А 380В IP44 EKF;23;310,62;476;454;476;364;452,2;428,4
46;00079508;Роз. перенос. 223 2Р+РЕ 32А 220В IP44 EKF;20;291,52;447;426;447;341;424,65;402,3
47;00079507;Роз. перенос. 215 3Р+РЕ+N 16А 380В IP44 EKF;16;291,63;448;427;448;342;425,6;403,2
48;00079506;Роз. перенос. 214 3Р+РЕ 16А 380В IP44 EKF;23;227,67;349;333;349;267;331,55;314,1
49;00079505;Роз. перенос. 213 2Р+РЕ 16А 220В IP44 EKF;10;186,46;286;273;286;219;271,7;257,4
50;00079448;Роз. (колодка) четырехмест. с защит. крышками каучуковая 230В 2P+PE 16A IP44 EKF Марс;54;437,85;657;629;657;552;624,15;591,3
51;00079447;Роз. (колодка) трехмест. с защит. крышками каучуковая 230В 2P+PE 16A IP44 EKF Марс;65;272,7;431;410;431;333;409,45;387,9
52;00079722;"Ретро провод ""Эко"" 2х2,5 витой ГОСТ коричневый (50м) TDM (метр)";0; ;6 700,00;6 350,00;6 700,00;5 700,00;6 365,00;6 030,00
53;00079721;"Ретро провод ""Эко"" 2х2,5 витой ГОСТ коричневый (50м) TDM (бухта 50м)";1;4270,73;6 784,00;6 572,00;6 784,00;5 851,00;6 444,80;6 105,60
54;00079720;"Ретро провод ""Эко"" 2х2,5 витой ГОСТ коричневый (20м) TDM (метр)";0; ;144;137;144;118;136,8;129,6
55;00079719;"Ретро провод ""Эко"" 2х2,5 витой ГОСТ коричневый (20м) TDM (бухта 20м)";26;1950,4;2 880,00;2 740,00;2 880,00;2 360,00;2 736,00;2 592,00
56;00080349;Рамка 3-м BRITE РУ-3-БрКр беж. IEK BR-M32-K10;63;135,95;176;170;176;138;167,2;158,4
57;00080464;Рамка 3-м BRITE РУ-3-БрБ бел. ІЕК BR-M32-K01;11;105,05;167;154;167;133;158,65;150,3
58;00080332;Рамка 3-м BRITE РУ-3-БрА алюм. ІЕК BR-M32-K47;41;117,71;218;201;218;173;207,1;196,2
59;00080320;Рамка 3-м AtlasDesign универс. шампань SE ATN000503;140;154,4;246;237;246;206;233,7;221,4
60;00080309;Рамка 3-м AtlasDesign универс. мокко SE ATN000603;11;162,94;259;250;259;217;246,05;233,1
61;00080296;Рамка 3-м AtlasDesign универс. карбон SE ATN001003;228;373,88;565;547;565;474;536,75;508,5
62;00080280;Рамка 3-м AtlasDesign универс. бел. SE ATN000103;55;103,75;161;155;161;135;152,95;144,9
63;00080267;Рамка 3-м AtlasDesign универс. беж. SE ATN000203;319;123,29;187;181;187;157;177,65;168,3
64;00080253;Рамка 3-м AtlasDesign универс. алюм. SE ATN000303;149;154,4;246;237;246;206;233,7;221,4
65;00081622;Рамка 2гн сталь AtlasDesign Systeme Electric (1/5);0; ;392;381;392;330;372,4;352,8
66;00080445;Рамка 2гн крем INSPIRIA Legrand (1/5);40;51,43;82;79;82;69;77,9;73,8
67;00080431;Рамка 2гн белый INSPIRIA Legrand (1/5);0; ;82;79;82;69;77,9;73,8
68;00080401;Рамка 2гн алюминий INSPIRIA Legrand (1/5);31;87,68;140;135;140;117;133;126
69;00083273;Рамка 2-х постовая сл. кость «Виви» TDM;101;98,81;163;158;163;141;154,85;146,7
70;00080463;Рамка 2-х постовая коричневая «Виви» TDM;76;98,81;163;158;163;141;154,85;146,7
71;00080646;Рамка 2-м Glossa горизонт. бел. SchE GSL000102 RS;96;70,47;150;104;150;135;142,5;135
72;00080624;Рамка 2-м Glossa горизонт. беж. SchE GSL000202 RS;33;70,47;150;104;150;135;142,5;135
73;00080387;Рамка 2-м Etika сл. кость Leg 672512 RS;14;62,48;86; ;86;74;81,7;77,4
74;00080377;Рамка 2-м Etika бел. Leg 672502 RS;4;63,05;86; ;86;74;81,7;77,4
75;00080579;Рамка 2-м BRITE РУ-2-БрШ шампань IEK BR-M22-K37;22;76,63;138;127;138;110;131,1;124,2
76;00080561;Рамка 2-м BRITE РУ-2-БрЧ черн. ІЕК BR-M22-K02;210;85,75;130;127;130;109;123,5;117
77;00080348;Рамка 2-м BRITE РУ-2-БрКр беж. IEK BR-M22-K10;12;85,82;125;121;125;105;118,75;112,5
78;00080462;Рамка 2-м BRITE РУ-2-БрБ бел. ІЕK BR-M22-K01;33;57,31;92;85;92;73;87,4;82,8
79;00080331;Рамка 2-м BRITE РУ-1-БрА алюм. ІEK BR-M22-K47;31;70,34;138;127;138;110;131,1;124,2
80;00080319;Рамка 2-м AtlasDesign универс. шампань SE ATN000502;84;85,73;137;132;137;114;130,15;123,3
81;00080308;Рамка 2-м AtlasDesign универс. мокко SE ATN000602;3;135,92;200;193;200;167;190;180
82;00080295;Рамка 2-м AtlasDesign универс. карбон SE ATN001002;181;211,92;321;310;321;269;304,95;288,9
83;00080403;Рамка 4гн алюминий INSPIRIA Legrand (1/5);13;218,67;348;336;348;291;330,6;313,2
84;00080648;Рамка 4-м Glossa горизонт. бел. SchE GSL000104 RS;35;195,99;300;287;300;270;285;270
85;00080626;Рамка 4-м Glossa горизонт. беж. SchE GSL000204 RS;38;195,99;297;287;297;249;282,15;267,3
86;00080389;Рамка 4-м Etika сл. кость Leg 672514 RS;13;194,07;268; ;268;230;254,6;241,2
87;00080379;Рамка 4-м Etika бел. Leg 672504 RS;7;194,07;268; ;268;230;254,6;241,2
88;00080581;Рамка 4-м BRITE РУ-4-БрШ шампань IEK BR-M42-K37;0; ;337;311;337;268;320,15;303,3
89;00080564;Рамка 4-м BRITE РУ-4-БрЧ черн. ІЕК BR-M42-K02;1;199,32;337;311;337;268;320,15;303,3
90;00080350;Рамка 4-м BRITE РУ-4-БрКр беж. IEK BR-M42-K10;67;161,24;274;264;274;215;260,3;246,6
91;00080466;Рамка 4-м BRITE РУ-4-БрБ бел. ІЕК BR-M42-K01;0; ;261;241;261;207;247,95;234,9
92;00080333;Рамка 4-м BRITE РУ-4-БрА алюм. ІЕК BR-M42-K47;30;187,89;337;311;337;268;320,15;303,3
93;00080321;Рамка 4-м AtlasDesign универс. шампань SE ATN000504;33;238,98;380;367;380;318;361;342
94;00080310;Рамка 4-м AtlasDesign универс. мокко SE ATN000604;1;250,62;399;385;399;334;379,05;359,1
95;00080297;Рамка 4-м AtlasDesign универс. карбон SE ATN001004;88;576,77;755;729;755;632;717,25;679,5
96;00080281;Рамка 4-м AtlasDesign универс. бел. SE ATN000104;33;157,24;250;241;250;209;237,5;225
97;00075959;Рамка 4-м AtlasDesign универс. беж. SE ATN000204;92;190,96;279;270;250;242;237,5;225
98;00080254;Рамка 4-м AtlasDesign универс. алюм. SE ATN000304;58;238,98;380;367;380;318;361;342
99;00080446;Рамка 3гн крем INSPIRIA Legrand (1/5);29;91,33;146;141;146;122;138,7;131,4
100;00080432;Рамка 3гн белый INSPIRIA Legrand (1/5);12;91,33;146;141;146;122;138,7;131,4
101;00080415;Рамка 3гн антрацит  INSPIRIA Legrand (1/5);3;141,88;226;218;226;189;214,7;203,4
102;00080402;Рамка 3гн алюминий INSPIRIA Legrand (1/5);13;141,37;225;217;225;188;213,75;202,5
103;00083274;Рамка 3-х постовая сл. кость «Виви» TDM;54;157,25;260;252;260;224;247;234
104;00080465;Рамка 3-х постовая коричневая «Виви» TDM;53;189,66;260;252;260;224;247;234
105;00080647;Рамка 3-м Glossa горизонт. бел. SchE GSL000103 RS;107;126,64;225;186;225;203;213,75;202,5
106;00080625;Рамка 3-м Glossa горизонт. беж. SchE GSL000203 RS;46;126,64;192;186;192;161;182,4;172,8
107;00080388;Рамка 3-м Etika сл. кость Leg 672513 RS;5;114,56;158; ;158;136;150,1;142,2
108;00080378;Рамка 3-м Etika бел. Leg 672503 RS;1;114,56;158; ;158;136;150,1;142,2
109;00080580;Рамка 3-м BRITE РУ-3-БрШ шампань IEK BR-M32-K37;20;118,03;218;201;218;173;207,1;196,2
110;00080563;Рамка 3-м BRITE РУ-3-БрЧ черн. ІЕК BR-M32-K02;167;136,26;206;201;206;173;195,7;185,4
111;00080355;Розетка компьютерная + телевизионная 2-м Brite РТВ/РК12-БрКр RJ45 кат.5E + TV беж. IEK BR-AK20-1-K10;24;548,37;930;898;930;730;883,5;837
112;00080474;Розетка компьютерная + телевизионная 2-м Brite РТВ/РК12-БРБ RJ45 кат.5E + TV бел. IEK BR-AK20-1-K01;30;541,59;915;842;915;727;869,25;823,5
113;00080337;Розетка компьютерная + телевизионная 2-м Brite РТВ/РК12-БрА RJ45 кат.5E + TV алюм. ІЕК BR-AK20-1-K47;30;594,09;1 189,00;1 094,00;1 189,00;944;1 129,55;1 070,10
114;00079517;Розетка кабельная 16А 220В 2P+PЕ ССИ-213 IP44 IEK PSR21-016-3 RS;3;197,84;290; ;290;233;275,5;261
115;00080605;Розетка двойная с заземлением 16А Systeme Electric (Schneider Electric) Hit, белый RS16-236-B;98;130,66;160;160;160;160;152;144
116;00085928;Розетка GLORY Роз. без з/к/ш о/у 10А РС20-2-ХБ белый IEK;0; ; ; ; ; ; ; 
117;00085936;Розетка GLORY Роз. 3-я с з/к без з/ш о/у 16А РС23-3-ХБ белый IEK;0; ; ; ; ; ; ; 
118;00085934;Розетка GLORY Роз. 2-я с з/к без з/ш о/у 16А РС22-3-ХБ белый IEK;0; ; ; ; ; ; ; 
119;00080569;Розетка BRITЕ РС10-1-0-БрЧ 10А без заземл. без защ, шторок черн. ІЕК BR-R10-10-K02;254;126,4;184;184;184;154;174,8;165,6
120;00080336;Розетка BRITЕ РС10-1-0-БрА 10А без заземл. без защ. шторок алюм. ІЕК П BR-R10-10-K47;0; ;190;180;190;152;180,5;171
121;00080354;Розетка BRITE РСбш10-3-БрКр 16А IP20 с заземл. защ. шторки с крышкой беж. IEK BR-R16-16-K10;72;187,5;305;294;305;239;289,75;274,5
122;00080473;Розетка BRITE РСбш10-3-44-БРБ 16А IP44 с заземл. защ, шторки с крышкой бел. IEK BR-R16-16-44-K01;80;179,68;305;281;305;242;289,75;274,5
123;00080335;Розетка BRITE РСБш10-3-44-БРА 16А IP44 с заземл. защ. шторки с крышкой алюм. IEK BR-R16-16-44-K47;18;233,57;395;364;395;314;375,25;355,5
124;00080568;Розетка BRITE РСБш 10-3-44-БрЧ 16А 6 IP44 с заземл, защ, шторки с крышкой черн. ІЕК BR-R16-16-44-K02;190;257,92;387;375;387;325;367,65;348,3
125;00080582;Розетка BRITE РС11-1-0-БрШ 16А с 5 заземл. без защ, шторки шампань IEK BR-R11-16-K37;95;141,36;233;215;233;185;221,35;209,7
126;00080353;Розетка BRITE РС11-1-0-БрКр 16А с заземл. без защ. шторки беж. IEK BR-R11-16-K10;89;134,29;195;189;195;164;185,25;175,5
127;00085907;Розетка BRITE Роз. без з/к/ш 10А РС10-1-0-БрШ шамп. IEK;0; ; ; ; ; ; ; 
128;00085906;Розетка BRITE Роз. без з/к/ш 10А РС10-1-0-БрКр беж. IEK;0; ; ; ; ; ; ; 
129;00085908;Розетка BRITE Роз. 2-я с з/к без з/ш 16А в сб. РС12-3-БрШ шамп. IEK;0; ; ; ; ; ; ; 
130;00085909;Розетка BRITE Роз 2-я с з/к без з/ш пл 16А в сб РСПл12-3-БрА алю IEK;0; ; ; ; ; ; ; 
131;00080567;Розетка BRITE PC14-1-0-БрЧ 16А с заземл. защ. шторки черн. ІЕК BR-R14-16-K02;6;136,15;252;232;252;200;239,4;226,8
132;00080472;Розетка BRITE PC11-1-0-БрБ 16А с заземл. без защ, шторки бел. ІЕК BR-R11-16-K01;70;95,62;181;167;181;144;171,95;162,9
133;00080334;Розетка BRITE PC11-1-0-БрА 16А с заземл. без защ, шторки алюм. ІЕК BR-R11-16-K47;111;139,76;233;215;233;185;221,35;209,7
134;00080471;Розетка BRITE PC10-1-0-БрБ 10А без заземл. без защ, шторок бел. ІЕК BR-R10-10-K01;2;93,69;153;141;153;122;145,35;137,7
135;00080560;Розетка 4-м ОП GLORY PC24-3-ХД 16А с заземл. дуб IEK ERH41-K24-16;0; ;835;769;835;663;793,25;751,5
136;00080558;Розетка 4-м ОП GLORY PC24-3-ХБ ЗА с заземл.бел. IEK ERH41-K01-16;0; ;582;536;582;462;552,9;523,8
137;00080556;Розетка 3-м ОП GLORY PC23-3-ХД 16А с заземл. дуб IEK ERH31-K24-16;0; ;614;565;614;488;583,3;552,6
138;00080339;Розетка телевизионная оконечная ТV СП Brite PTB11-0-БрА алюм. ІЕК BR-A10-O-K47;37;405,11;684;630;684;543;649,8;615,6
139;00080584;Розетка телевизионная оконечная ТV В СП Brite PTB11-0-БрШ шампань ІЕК BR-A10-O-K37;11;405,11;684;630;684;543;649,8;615,6
140;00080357;Розетка телевизионная оконечная TV СП Brite РТВ11-0-БрКр беж. IEK BR-A10-O-K10;25;303,74;516;498;516;404;490,2;464,4
141;00080260;Розетка телевизионная оконечная TV AtlasDesign 1дБ механизм алюм. SE ATN000391;53;205,22;327;315;327;273;310,65;294,3
142;00080572;Розетка телевизионная оконечная TV 5 СП Brite PTB11-0-БрЧ черн. ІЕК BR-A10-O-K02;37;405,11;684;630;684;543;649,8;615,6
143;00080324;Розетка телевизионная TV AtlasDesign коннектор механизм шампань SE ATN000593;18;205,22;327;315;327;273;310,65;294,3
144;00080313;Розетка телевизионная TV AtlasDesign коннектор механизм мокко SE ATN000693;24;205,22;327;315;327;273;310,65;294,3
145;00080302;Розетка телевизионная TV AtlasDesign коннектор механизм карбон SE ATN001093;26;205,22;327;315;327;273;310,65;294,3
146;00080288;Розетка телевизионная TV AtlasDesign коннектор механизм бел. SE ATN000193;13;135,78;217;209;217;181;206,15;195,3
147;00080272;Розетка телевизионная TV AtlasDesign коннектор механизм беж. SE ATN000293;37;135,78;217;209;217;193;206,15;195,3
148;00085980;Розетка стац. ССИ-114 16А-6ч 380В 3P+PE IP44 IEK;0; ; ; ; ; ; ; 
149;00080606;Розетка с заземлением 16А Systeme Electric (Schneider Electric) Hit, белый RS16-134-B;32;105,1;159;154;159;134;151,05;143,1
150;00085982;Розетка перенос. ССИ-215 16А-6ч 380В 3P+PE+N IP44 IEK;0; ; ; ; ; ; ; 
151;00085981;Розетка перенос. ССИ-213 16А-6ч 220В 2P+PE IP44 IEK;0; ; ; ; ; ; ; 
152;00079554;Розетка настенная TERACOM Cat.5E неэкран. 2 порта RJ-45 Dual IDC белая;80;127,81;216;205;216;166;205,2;194,4
153;00080583;Розетка компьютерная СП RJ45 кат.5E BRITE РК10-БрШ шампань ІЕК BR-K10-1-K37;5;509,49;917;844;917;728;871,15;825,3
154;00080356;Розетка компьютерная СП RJ45 кат.5E BRITE РК10-БрКр беж. IEK BR-K10-1-K10;18;415,4;704;680;704;553;668,8;633,6
155;00080475;Розетка компьютерная СП RJ45 кат.5E BRITE РК10-БрБ бел. ІЕК BR-K10-1-K01;6;418,07;706;650;706;561;670,7;635,4
156;00080338;Розетка компьютерная СП RJ45 кат.5E BRITE РК10-БрА алюм. ІЕК BR-K10-1-K47;22;543,48;917;844;917;728;871,15;825,3
157;00080571;Розетка компьютерная СП RJ45 o кат.5E BRITЕ РК10-БрЧ черн. ІЕК BR-K10-1-K02;42;593,76;897;868;897;752;852,15;807,3
158;00080323;Розетка компьютерная AtlasDesign RJ45 кат.5E механизм шампань SE ATN000583;73;724,25;1 087,00;1 053,00;1 087,00;913;1 032,65;978,3
159;00080312;Розетка компьютерная AtlasDesign RJ45 кат.5E механизм мокко SE ATN000683;8;638,17;1 014,00;979;1 014,00;849;963,3;912,6
160;00080562;Розетка компьютерная 1-м ОП Glory РК10-ХБ бел. ІЕК ЕКН10-K01;4;125,97;213;196;213;169;202,35;191,7
161;00080301;Розетка компьютерная 1-м AtlasDesign RJ45 кат.5E механизм карбон SE ATN001083;53;724,25;1 087,00;1 053,00;1 087,00;913;1 032,65;978,3
162;00080287;Розетка компьютерная 1-м AtlasDesign RJ45 кат.5E механизм бел. SE ATN000183;34;475,14;713;691;713;599;677,35;641,7
163;00080271;Розетка компьютерная 1-м AtlasDesign RJ45 кат.5E механизм беж. SE ATN000283;42;475,14;713;691;713;599;677,35;641,7
164;00080259;Розетка компьютерная 1-м AtlasDesign RJ45 кат.5E механизм алюм. SE ATN000383;88;724,25;1 087,00;1 053,00;1 087,00;913;1 032,65;978,3
165;00080570;Розетка компьютерная +телевизионная 2-м Brite РТВ/РК12-БрЧ RJ45 кат.5E + TV черн. IEK BR-AK20-1-K02;6;704,1;1 189,00;1 094,00;1 189,00;944;1 129,55;1 070,10
166;00080438;Розетка 1гн ТВ оконечная  с/у белый механизм INSPIRIA Legrand (1/5);17;247,23;394;380;394;329;374,3;354,6
167;00080419;Розетка 1гн ТВ оконечная  с/у антрацит механизм INSPIRIA Legrand (1/5);14;368,37;586;566;586;490;556,7;527,4
168;00080408;Розетка 1гн ТВ оконечная  с/у алюминий механизм INSPIRIA Legrand (1/5);25;368,37;586;566;586;490;556,7;527,4
169;00080450;Розетка 1гн с З/К с/у крем механизм 16А INSPIRIA Legrand (1/10/100);24;101,36;162;156;162;135;153,9;145,8
170;00080437;Розетка 1гн с З/К с/у белый механизм 16А INSPIRIA Legrand (1/10/100);0; ;162;156;162;135;153,9;145,8
171;00080418;Розетка 1гн с З/К с/у антрацит механизм 16А INSPIRIA Legrand (1/10/100);0; ;250;241;250;209;237,5;225
172;00080407;Розетка 1гн с З/К с/у алюминий механизм 16А INSPIRIA Legrand (1/10/100);15;156,5;250;241;250;209;237,5;225
173;00080436;Розетка 1гн комп RJ45 с/у белый механизм кат.5е INSPIRIA Legrand;19;338,38;539;520;539;450;512,05;485,1
174;00080406;Розетка 1гн комп RJ45 с/у алюминий механизм кат.5е INSPIRIA Legrand;20;419,32;667;644;667;558;633,65;600,3
175;00081617;Розетка 1гн без З/К с/у сталь механизм 16А AtlasDesign Systeme Electric (1/20);0; ;502;487;502;422;476,9;451,8
176;00080449;Розетка 1гн без З/К с/у крем механизм 16А INSPIRIA Legrand (1/10/100);7;87,85;140;135;140;117;133;126
177;00080435;Розетка 1гн без З/К с/у белый механизм 16А INSPIRIA Legrand (1/10/100);6;87,85;140;135;140;117;133;126
178;00080405;Розетка 1гн без З/К с/у алюминий механизм 16А INSPIRIA Legrand (1/10/100);18;135,64;217;209;217;181;206,15;195,3
179;00080392;Розетка 1-м СП Etika 16А IP31 250В 2P+E с заземл. защ. шторки сл. кость Leg 672322 RS;2;180,66;252; ;252;216;239,4;226,8
180;00080382;Розетка 1-м СП Etika 16А IP31 250В 2P+E с заземл. защ. шторки  бел. Leg 672222 RS;3;180,36;252; ;252;216;239,4;226,8
181;00080391;Розетка 1-м СП Etika 16А IP20 250В 2P+E с заземл.  сл. кость Leg 672321 RS;60;157,38;219; ;219;188;208,05;197,1
182;00080381;Розетка 1-м СП Etika 16А IP20 250В 2P+E с заземл.  бел. Leg 672221 RS;5;159,22;219; ;219;188;208,05;197,1
183;00080390;Розетка 1-м СП Etika 16А IP20 250В 2P без заземл. сл. кость Leg 672320 RS;1;131,27;183; ;183;157;173,85;164,7
184;00080380;Розетка 1-м СП Etika 16А IP20 250В 2P без заземл.  бел. Leg 672220 RS;0; ;183; ;183;157;173,85;164,7
185;00080322;Розетка 1-м СП AtlasDesign 16А IP20 с заземл. механизм шампань SE ATN000543;54;178,91;272;262;272;227;258,4;244,8
186;00080311;Розетка 1-м СП AtlasDesign 16А IP20 с заземл. механизм мокко SE ATN000643;2;193,98;291;282;291;245;276,45;261,9
187;00080299;Розетка 1-м СП AtlasDesign 16А IP20 с заземл. механизм карбон SE ATN001043;253;276,11;418;404;418;350;397,1;376,2
188;00080285;Розетка 1-м СП AtlasDesign 16А IP20 с заземл. механизм бел. SE ATN000143;307;130,95;198;192;198;166;188,1;178,2
189;00080270;Розетка 1-м СП AtlasDesign 16А IP20 с заземл. механизм беж. SE ATN000243;498;131,04;198;192;198;166;188,1;178,2
190;00080257;Розетка 1-м СП AtlasDesign 16А IP20 с заземл. механизм алюм. SE ATN000343;295;208,05;315;305;315;264;299,25;283,5
191;00080284;Розетка 1-м СП AtlasDesign 16А IP20 с заземл. защ. шторки с крышкой механизм бел. SE ATN000146;43;185,82;297;286;297;248;282,15;267,3
192;00080283;Розетка 1-м СП AtlasDesign 16А IP20 без заземл. без защ. шторок механизм бел. SE ATN000141;225;117,16;177;172;177;149;168,15;159,3
193;00080256;Розетка 1-м СП AtlasDesign 16А IP20 без заземл. без защ. шторок механизм алюм. SE ATN000341;125;168,78;253;246;253;213;240,35;227,7
194;00080554;Розетка 3-м ОП GLORY PC23-3-ХБ 16А с заземл.бел. IEK ERH31-K01-16;0; ;407;375;407;323;386,65;366,3
195;00083270;Розетка 2П+З 16А 250В сл. кость «Виви» TDM;148;121,02;200;194;200;172;190;180
196;00083275;Розетка 2П+З 16А 250В коричневая «Виви» TDM;99;121,02;200;194;200;172;190;180
197;00083269;Розетка 2П 10А 250В сл. кость «Виви» TDM;102;103,48;171;166;171;148;162,45;153,9
198;00080469;Розетка 2П 10А 250В коричневая «Виви» TDM;8;103,48;171;166;171;148;162,45;153,9
199;00080452;Розетка 2гн с З/К с/у крем в сборе 16А INSPIRIA Legrand (1/5/50);29;163,8;261;252;261;218;247,95;234,9
200;00080439;Розетка 2гн с З/К с/у белый в сборе 16А INSPIRIA Legrand (1/5/50);0; ;261;252;261;218;247,95;234,9
201;00080409;Розетка 2гн с З/К с/у алюминий в сборе 16А INSPIRIA Legrand (1/5/50);3;250,4;399;385;399;333;379,05;359,1
202;00081620;Розетка 2гн без З/К с/у сталь в сборе 16А AtlasDesign Systeme Electric (1/15);0; ;769;745;769;646;730,55;692,1
203;00081021;Розетка 2гн без З/К с/у карбон в сборе 16А AtlasDesign Systeme Electric (1/6);67;369,14;558;540;558;468;530,1;502,2
